Station No,Road Link,Location,AADT,AADT excluding MC & Rickshaws,AADT in PCUs,AADT in PCUs excluding MC & Rickshaws,Year,More info
1,F00101,Birtamod South,5247,1615,4710,2586,2011/012,view detail
1,F00101,Birtamod South,5251,1485,4400,2254,2012/013,view detail
1,F00101,Birtamod South,5183,1109,3695,1629,2014/015,view detail
1,F00101,Birtamod South,4545,1218,3591,1808,2015/016,view detail
1,F00101,Birtamod South,8219,4223,6498,4500,2016/017,view detail
1,F00101,Birtamod South,22417,10398,16282,10271,2018/019,view detail
1,NH04-001,Birtamod South,12330,3928,8797,4596,2020/021,view detail
1,NH04-001,Birtamod South,12469,4576,8771,4825,2021/022,view detail
2,H0101,Charali East,6811,3006,7150,5245,2011/012,view detail
2,H0101,Charali East,7750,2981,7506,5138,2012/013,view detail
2,H0101,Charali East,7672,2974,7394,4987,2014/015,view detail
2,H0101,Charali East,8053,4016,9115,7071,2015/016,view detail
2,H0101,Charali East,10319,5768,11825,9534,2016/017,view detail
2,H0101,Charali East,16040,6895,13443,8850,2018/019,view detail
2,NH01-001,Charali East,17170,7331,16643,11720,2020/021,view detail
2,NH01-001,Charali East,14769,6770,13945,9938,2021/022,view detail
3,H0102,Charali West,7766,4254,9588,9588,2011/012,view detail
3,H0102,Charali West,8326,3943,9518,9518,2012/013,view detail
3,H0102,Charali West,7600,3525,8099,6034,2014/015,view detail
3,H0102,Charali West,10065,5258,11357,8947,2015/016,view detail
3,H0102,Charali West,11500,6176,12504,9839,2016/017,view detail
3,H0102,Charali West,15614,6557,13435,8845,2018/019,view detail
3,NH01-002,Charali West,46156,20828,37159,24491,2020/021,view detail
3,NH01-002,Charali West,36969,17773,30171,20572,2021/022,view detail
4,H0705,Charali North,4520,2040,5240,3815,2011/012,view detail
4,H0705,Charali North,5217,1748,5109,3143,2012/013,view detail
4,H0705,Charali North,6970,1806,5400,2613,2014/015,view detail
4,H0705,Charali North,6757,3102,5857,4000,2015/016,view detail
4,H0705,Charali North,8241,4156,6947,4886,2016/017,view detail
4,H0705,Charali North,11149,5579,9434,6647,2018/019,view detail
